start
start
start
RANK=2 LOCAL_RANK=2 WORLD=3
RANK=1 LOCAL_RANK=1 WORLD=3
RANK=0 LOCAL_RANK=0 WORLD=3
total desired batch size : 491520
calculated gradient accumulation steps : 10
found 99 shards for split train
found 1 shards for split val
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/__init__.py:1617: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/__init__.py:1617: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/__init__.py:1617: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  _C._set_float32_matmul_precision(precision)
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: True
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/_dynamo/eval_frame.py:1044: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. Starting in PyTorch 2.9, calling checkpoint without use_reentrant will raise an exception. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/_dynamo/eval_frame.py:1044: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. Starting in PyTorch 2.9, calling checkpoint without use_reentrant will raise an exception. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/_dynamo/eval_frame.py:1044: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. Starting in PyTorch 2.9, calling checkpoint without use_reentrant will raise an exception. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
/DATA405/khushi/gpt/.venv/lib/python3.13/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
validation loss : 10.9824
HellaSwag accuracy : 2435/10042=0.2425
step : 0 | loss : 10.981745 | tok/sec : 8204.954470215296 | lr : 7.874016e-07 | dt : 59.91s
step : 4064 | loss : 3.397501 | tok/sec : 108584.42938621678 | lr : 5.629959e-04 | dt : 4.53s
step : 4065 | loss : 3.353619 | tok/sec : 87230.23210966925 | lr : 5.629740e-04 | dt : 5.63s
step : 4066 | loss : 3.362837 | tok/sec : 116613.30911450592 | lr : 5.629521e-04 | dt : 4.21s
step : 4067 | loss : 3.247111 | tok/sec : 103524.92094614946 | lr : 5.629302e-04 | dt : 4.75s
step : 4068 | loss : 3.305904 | tok/sec : 116266.64279655664 | lr : 5.629083e-04 | dt : 4.23s
step : 4069 | loss : 3.235170 | tok/sec : 115387.06914388815 | lr : 5.628864e-04 | dt : 4.26s
step : 4070 | loss : 3.242723 | tok/sec : 115716.19287907796 | lr : 5.628645e-04 | dt : 4.25s
step : 4071 | loss : 3.171350 | tok/sec : 115426.15464154296 | lr : 5.628425e-04 | dt : 4.26s
step : 4072 | loss : 3.233022 | tok/sec : 113569.53667231562 | lr : 5.628206e-04 | dt : 4.33s
step : 4073 | loss : 3.191244 | tok/sec : 102573.43574966199 | lr : 5.627987e-04 | dt : 4.79s
step : 4074 | loss : 3.276703 | tok/sec : 102364.91274288019 | lr : 5.627767e-04 | dt : 4.80s
step : 4075 | loss : 3.266256 | tok/sec : 101708.70053515879 | lr : 5.627548e-04 | dt : 4.83s
step : 4076 | loss : 3.184704 | tok/sec : 102575.87018023209 | lr : 5.627328e-04 | dt : 4.79s
step : 4077 | loss : 3.263711 | tok/sec : 102298.27518614274 | lr : 5.627109e-04 | dt : 4.80s
step : 4078 | loss : 3.272604 | tok/sec : 102582.53610979042 | lr : 5.626889e-04 | dt : 4.79s
step : 4079 | loss : 3.258058 | tok/sec : 102424.4056363264 | lr : 5.626669e-04 | dt : 4.80s
step : 4080 | loss : 3.347742 | tok/sec : 102778.67484196088 | lr : 5.626449e-04 | dt : 4.78s
step : 4081 | loss : 3.376055 | tok/sec : 103331.79935434175 | lr : 5.626230e-04 | dt : 4.76s
step : 4082 | loss : 3.399752 | tok/sec : 102346.71963159666 | lr : 5.626010e-04 | dt : 4.80s
step : 4083 | loss : 3.423494 | tok/sec : 102676.81440068228 | lr : 5.625790e-04 | dt : 4.79s
step : 4084 | loss : 3.445074 | tok/sec : 103299.38224234221 | lr : 5.625570e-04 | dt : 4.76s
step : 4085 | loss : 3.354654 | tok/sec : 102561.40309206877 | lr : 5.625350e-04 | dt : 4.79s
step : 4086 | loss : 3.448923 | tok/sec : 102996.51405304112 | lr : 5.625129e-04 | dt : 4.77s
step : 4087 | loss : 3.453143 | tok/sec : 103402.0621926811 | lr : 5.624909e-04 | dt : 4.75s
step : 4088 | loss : 3.412984 | tok/sec : 103370.27478671695 | lr : 5.624689e-04 | dt : 4.75s
step : 4089 | loss : 3.418531 | tok/sec : 102956.54238374977 | lr : 5.624469e-04 | dt : 4.77s
step : 4090 | loss : 3.399427 | tok/sec : 103381.78256703896 | lr : 5.624248e-04 | dt : 4.75s
step : 4091 | loss : 3.415699 | tok/sec : 103629.38871013152 | lr : 5.624028e-04 | dt : 4.74s
step : 4092 | loss : 3.396829 | tok/sec : 105204.29987985308 | lr : 5.623807e-04 | dt : 4.67s
step : 4093 | loss : 3.466119 | tok/sec : 107178.06329075032 | lr : 5.623587e-04 | dt : 4.59s
step : 4094 | loss : 3.445473 | tok/sec : 106854.24190261708 | lr : 5.623366e-04 | dt : 4.60s
step : 4095 | loss : 3.450091 | tok/sec : 107386.53744485498 | lr : 5.623145e-04 | dt : 4.58s
step : 4096 | loss : 3.398738 | tok/sec : 106874.06188758262 | lr : 5.622925e-04 | dt : 4.60s
step : 4097 | loss : 3.455333 | tok/sec : 106664.36990632494 | lr : 5.622704e-04 | dt : 4.61s
step : 4098 | loss : 3.447062 | tok/sec : 107627.61741097749 | lr : 5.622483e-04 | dt : 4.57s
step : 4099 | loss : 3.439602 | tok/sec : 108525.89080662472 | lr : 5.622262e-04 | dt : 4.53s
step : 4100 | loss : 3.431569 | tok/sec : 108442.25958442564 | lr : 5.622041e-04 | dt : 4.53s
step : 4101 | loss : 3.469600 | tok/sec : 107911.62726696752 | lr : 5.621820e-04 | dt : 4.55s
step : 4102 | loss : 3.360548 | tok/sec : 108560.98579770737 | lr : 5.621599e-04 | dt : 4.53s
step : 4103 | loss : 3.447494 | tok/sec : 108415.42788528513 | lr : 5.621378e-04 | dt : 4.53s
step : 4104 | loss : 3.392606 | tok/sec : 108729.73067615736 | lr : 5.621156e-04 | dt : 4.52s
step : 4105 | loss : 3.365521 | tok/sec : 108248.70792505663 | lr : 5.620935e-04 | dt : 4.54s
step : 4106 | loss : 3.386978 | tok/sec : 108301.11016732744 | lr : 5.620714e-04 | dt : 4.54s
step : 4107 | loss : 3.370707 | tok/sec : 107698.995840267 | lr : 5.620492e-04 | dt : 4.56s
step : 4108 | loss : 3.351691 | tok/sec : 108626.69916008097 | lr : 5.620271e-04 | dt : 4.52s
step : 4109 | loss : 3.404106 | tok/sec : 108146.52318713 | lr : 5.620049e-04 | dt : 4.54s
step : 4110 | loss : 3.437981 | tok/sec : 108230.41463074673 | lr : 5.619828e-04 | dt : 4.54s
step : 4111 | loss : 3.368561 | tok/sec : 108631.69612486038 | lr : 5.619606e-04 | dt : 4.52s
step : 4112 | loss : 3.479804 | tok/sec : 108164.31710287834 | lr : 5.619384e-04 | dt : 4.54s
step : 4113 | loss : 3.323499 | tok/sec : 108146.13174141463 | lr : 5.619163e-04 | dt : 4.54s
step : 4114 | loss : 3.456530 | tok/sec : 108111.40079901101 | lr : 5.618941e-04 | dt : 4.55s
step : 4115 | loss : 3.375004 | tok/sec : 108261.77672602993 | lr : 5.618719e-04 | dt : 4.54s
step : 4116 | loss : 3.370589 | tok/sec : 108369.6593173858 | lr : 5.618497e-04 | dt : 4.54s
step : 4117 | loss : 3.261700 | tok/sec : 108652.20394894952 | lr : 5.618275e-04 | dt : 4.52s
step : 4118 | loss : 3.300880 | tok/sec : 108305.52530392208 | lr : 5.618053e-04 | dt : 4.54s
step : 4119 | loss : 3.186745 | tok/sec : 108072.31265344238 | lr : 5.617831e-04 | dt : 4.55s
step : 4120 | loss : 3.308245 | tok/sec : 108169.7824173654 | lr : 5.617609e-04 | dt : 4.54s
step : 4121 | loss : 3.210149 | tok/sec : 108710.55789094849 | lr : 5.617386e-04 | dt : 4.52s
step : 4122 | loss : 3.283100 | tok/sec : 108125.68406196086 | lr : 5.617164e-04 | dt : 4.55s
step : 4123 | loss : 3.257276 | tok/sec : 108538.10661475723 | lr : 5.616942e-04 | dt : 4.53s
step : 4124 | loss : 3.274095 | tok/sec : 107886.31085089906 | lr : 5.616719e-04 | dt : 4.56s
step : 4125 | loss : 3.304325 | tok/sec : 113583.01449830784 | lr : 5.616497e-04 | dt : 4.33s
step : 4126 | loss : 3.211286 | tok/sec : 111735.13487990333 | lr : 5.616274e-04 | dt : 4.40s
step : 4127 | loss : 3.252763 | tok/sec : 111763.11406847343 | lr : 5.616052e-04 | dt : 4.40s
step : 4128 | loss : 3.281653 | tok/sec : 112065.11731294765 | lr : 5.615829e-04 | dt : 4.39s
step : 4129 | loss : 3.318943 | tok/sec : 111256.96951106247 | lr : 5.615606e-04 | dt : 4.42s
step : 4130 | loss : 3.180586 | tok/sec : 111856.71196275842 | lr : 5.615383e-04 | dt : 4.39s
step : 4131 | loss : 3.410721 | tok/sec : 112289.1241512346 | lr : 5.615161e-04 | dt : 4.38s
step : 4132 | loss : 3.477184 | tok/sec : 111675.05637585682 | lr : 5.614938e-04 | dt : 4.40s
step : 4133 | loss : 3.402607 | tok/sec : 111328.07433851606 | lr : 5.614715e-04 | dt : 4.42s
step : 4134 | loss : 3.435505 | tok/sec : 112289.49111819093 | lr : 5.614492e-04 | dt : 4.38s
step : 4135 | loss : 3.374259 | tok/sec : 111975.88383489037 | lr : 5.614269e-04 | dt : 4.39s
step : 4136 | loss : 3.419236 | tok/sec : 111340.50222423465 | lr : 5.614046e-04 | dt : 4.41s
step : 4137 | loss : 3.431482 | tok/sec : 112044.54935639111 | lr : 5.613822e-04 | dt : 4.39s
step : 4138 | loss : 3.445421 | tok/sec : 111914.59238642748 | lr : 5.613599e-04 | dt : 4.39s
step : 4139 | loss : 3.430108 | tok/sec : 111612.38968027972 | lr : 5.613376e-04 | dt : 4.40s
step : 4140 | loss : 3.418053 | tok/sec : 111712.19985408377 | lr : 5.613152e-04 | dt : 4.40s
step : 4141 | loss : 3.434629 | tok/sec : 111863.92856671948 | lr : 5.612929e-04 | dt : 4.39s
step : 4142 | loss : 3.421040 | tok/sec : 111536.10571123744 | lr : 5.612705e-04 | dt : 4.41s
step : 4143 | loss : 3.418145 | tok/sec : 111849.65406585214 | lr : 5.612482e-04 | dt : 4.39s
step : 4144 | loss : 3.417527 | tok/sec : 111825.3496741196 | lr : 5.612258e-04 | dt : 4.40s
step : 4145 | loss : 3.451533 | tok/sec : 111921.46404552594 | lr : 5.612035e-04 | dt : 4.39s
step : 4146 | loss : 3.411802 | tok/sec : 111917.68483238359 | lr : 5.611811e-04 | dt : 4.39s
step : 4147 | loss : 3.424418 | tok/sec : 111004.68306349413 | lr : 5.611587e-04 | dt : 4.43s
step : 4148 | loss : 3.428521 | tok/sec : 111782.66359359601 | lr : 5.611363e-04 | dt : 4.40s
step : 4149 | loss : 3.400861 | tok/sec : 110298.54141587683 | lr : 5.611139e-04 | dt : 4.46s
step : 4150 | loss : 3.411014 | tok/sec : 106349.94930232076 | lr : 5.610915e-04 | dt : 4.62s
step : 4151 | loss : 3.411498 | tok/sec : 106513.89408689422 | lr : 5.610691e-04 | dt : 4.61s
step : 4152 | loss : 3.419058 | tok/sec : 106951.48450942559 | lr : 5.610467e-04 | dt : 4.60s
step : 4153 | loss : 3.422085 | tok/sec : 106582.29261932166 | lr : 5.610243e-04 | dt : 4.61s
step : 4154 | loss : 3.410842 | tok/sec : 107139.84189685113 | lr : 5.610019e-04 | dt : 4.59s
step : 4155 | loss : 3.426752 | tok/sec : 106633.58438726782 | lr : 5.609795e-04 | dt : 4.61s
step : 4156 | loss : 3.405843 | tok/sec : 106916.59052967782 | lr : 5.609570e-04 | dt : 4.60s
step : 4157 | loss : 3.388556 | tok/sec : 107142.62597994595 | lr : 5.609346e-04 | dt : 4.59s
step : 4158 | loss : 3.378946 | tok/sec : 106612.81696261308 | lr : 5.609121e-04 | dt : 4.61s
step : 4159 | loss : 3.396196 | tok/sec : 106960.5792102663 | lr : 5.608897e-04 | dt : 4.60s
step : 4160 | loss : 3.432694 | tok/sec : 106863.63581408384 | lr : 5.608672e-04 | dt : 4.60s
step : 4161 | loss : 3.382997 | tok/sec : 106684.61085953696 | lr : 5.608448e-04 | dt : 4.61s
step : 4162 | loss : 3.385358 | tok/sec : 106398.81009964435 | lr : 5.608223e-04 | dt : 4.62s
step : 4163 | loss : 3.389963 | tok/sec : 106818.62540543044 | lr : 5.607998e-04 | dt : 4.60s
step : 4164 | loss : 3.372801 | tok/sec : 106687.94553035895 | lr : 5.607773e-04 | dt : 4.61s
step : 4165 | loss : 3.353878 | tok/sec : 106805.27188122061 | lr : 5.607549e-04 | dt : 4.60s
step : 4166 | loss : 3.397649 | tok/sec : 107041.71751550419 | lr : 5.607324e-04 | dt : 4.59s
step : 4167 | loss : 3.402132 | tok/sec : 106768.07892280255 | lr : 5.607099e-04 | dt : 4.60s
step : 4168 | loss : 3.340044 | tok/sec : 107085.84261398656 | lr : 5.606874e-04 | dt : 4.59s
step : 4169 | loss : 3.278556 | tok/sec : 107140.36529342917 | lr : 5.606649e-04 | dt : 4.59s
step : 4170 | loss : 3.205311 | tok/sec : 106125.76751196601 | lr : 5.606423e-04 | dt : 4.63s
step : 4171 | loss : 3.305426 | tok/sec : 107033.7481846801 | lr : 5.606198e-04 | dt : 4.59s
step : 4172 | loss : 3.251101 | tok/sec : 106673.71390239798 | lr : 5.605973e-04 | dt : 4.61s
step : 4173 | loss : 3.261702 | tok/sec : 107024.01876277819 | lr : 5.605748e-04 | dt : 4.59s
step : 4174 | loss : 3.200726 | tok/sec : 106964.92457063109 | lr : 5.605522e-04 | dt : 4.60s
step : 4175 | loss : 3.225070 | tok/sec : 106468.58941369012 | lr : 5.605297e-04 | dt : 4.62s
step : 4176 | loss : 3.269904 | tok/sec : 106736.69747433453 | lr : 5.605071e-04 | dt : 4.60s
step : 4177 | loss : 3.246954 | tok/sec : 106898.1848263778 | lr : 5.604846e-04 | dt : 4.60s
step : 4178 | loss : 3.237121 | tok/sec : 107223.23777012038 | lr : 5.604620e-04 | dt : 4.58s
step : 4179 | loss : 3.228373 | tok/sec : 107027.6247214099 | lr : 5.604394e-04 | dt : 4.59s
step : 4180 | loss : 3.260514 | tok/sec : 107419.94777358271 | lr : 5.604169e-04 | dt : 4.58s
step : 4181 | loss : 3.297690 | tok/sec : 106719.45299755516 | lr : 5.603943e-04 | dt : 4.61s
step : 4182 | loss : 3.410185 | tok/sec : 106793.65321356495 | lr : 5.603717e-04 | dt : 4.60s
step : 4183 | loss : 3.360928 | tok/sec : 106674.84544836298 | lr : 5.603491e-04 | dt : 4.61s
step : 4184 | loss : 3.431165 | tok/sec : 107410.31590158377 | lr : 5.603265e-04 | dt : 4.58s
step : 4185 | loss : 3.394033 | tok/sec : 107259.91148908806 | lr : 5.603039e-04 | dt : 4.58s
step : 4186 | loss : 3.484075 | tok/sec : 107448.55134785738 | lr : 5.602813e-04 | dt : 4.57s
step : 4187 | loss : 3.438836 | tok/sec : 107029.66394578949 | lr : 5.602587e-04 | dt : 4.59s
step : 4188 | loss : 3.408915 | tok/sec : 107139.12362689275 | lr : 5.602360e-04 | dt : 4.59s
step : 4189 | loss : 3.452458 | tok/sec : 107253.82907981642 | lr : 5.602134e-04 | dt : 4.58s
step : 4190 | loss : 3.405580 | tok/sec : 107208.70687769164 | lr : 5.601908e-04 | dt : 4.58s
step : 4191 | loss : 3.445791 | tok/sec : 107422.77442061683 | lr : 5.601681e-04 | dt : 4.58s
step : 4192 | loss : 3.408512 | tok/sec : 107266.99362189429 | lr : 5.601455e-04 | dt : 4.58s
step : 4193 | loss : 3.407286 | tok/sec : 107578.1326097393 | lr : 5.601228e-04 | dt : 4.57s
step : 4194 | loss : 3.424400 | tok/sec : 107087.0774833057 | lr : 5.601002e-04 | dt : 4.59s
step : 4195 | loss : 3.451315 | tok/sec : 107283.86838100821 | lr : 5.600775e-04 | dt : 4.58s
step : 4196 | loss : 3.392451 | tok/sec : 107116.85646834657 | lr : 5.600548e-04 | dt : 4.59s
step : 4197 | loss : 3.371641 | tok/sec : 107208.85183260877 | lr : 5.600322e-04 | dt : 4.58s
step : 4198 | loss : 3.377741 | tok/sec : 107472.9903805311 | lr : 5.600095e-04 | dt : 4.57s
step : 4199 | loss : 3.415811 | tok/sec : 107302.44624375079 | lr : 5.599868e-04 | dt : 4.58s
step : 4200 | loss : 3.382372 | tok/sec : 107290.18871111891 | lr : 5.599641e-04 | dt : 4.58s
step : 4201 | loss : 3.423333 | tok/sec : 107166.74219304144 | lr : 5.599414e-04 | dt : 4.59s
step : 4202 | loss : 3.466177 | tok/sec : 107235.34055984493 | lr : 5.599187e-04 | dt : 4.58s
step : 4203 | loss : 3.424629 | tok/sec : 107009.60846673777 | lr : 5.598960e-04 | dt : 4.59s
step : 4204 | loss : 3.437729 | tok/sec : 106177.04178394034 | lr : 5.598733e-04 | dt : 4.63s
step : 4205 | loss : 3.351347 | tok/sec : 106953.21010862869 | lr : 5.598505e-04 | dt : 4.60s
step : 4206 | loss : 3.397388 | tok/sec : 106970.67453006044 | lr : 5.598278e-04 | dt : 4.59s
step : 4207 | loss : 3.364049 | tok/sec : 107366.3703781553 | lr : 5.598051e-04 | dt : 4.58s
step : 4208 | loss : 3.362099 | tok/sec : 108462.39920906445 | lr : 5.597823e-04 | dt : 4.53s
step : 4209 | loss : 3.390374 | tok/sec : 108629.09741684615 | lr : 5.597596e-04 | dt : 4.52s
step : 4210 | loss : 3.366636 | tok/sec : 108270.09487885275 | lr : 5.597368e-04 | dt : 4.54s
step : 4211 | loss : 3.371194 | tok/sec : 108120.98303993877 | lr : 5.597141e-04 | dt : 4.55s
step : 4212 | loss : 3.395522 | tok/sec : 108507.87493793224 | lr : 5.596913e-04 | dt : 4.53s
step : 4213 | loss : 3.385996 | tok/sec : 108131.04338544636 | lr : 5.596685e-04 | dt : 4.55s
step : 4214 | loss : 3.402776 | tok/sec : 108514.71158137552 | lr : 5.596458e-04 | dt : 4.53s
step : 4215 | loss : 3.400585 | tok/sec : 108272.57976983709 | lr : 5.596230e-04 | dt : 4.54s
step : 4216 | loss : 3.346786 | tok/sec : 108536.88376735782 | lr : 5.596002e-04 | dt : 4.53s
step : 4217 | loss : 3.357987 | tok/sec : 108616.42048109496 | lr : 5.595774e-04 | dt : 4.53s
step : 4218 | loss : 3.351733 | tok/sec : 108307.3460836399 | lr : 5.595546e-04 | dt : 4.54s
step : 4219 | loss : 3.262218 | tok/sec : 108585.69905973318 | lr : 5.595318e-04 | dt : 4.53s
step : 4220 | loss : 3.224516 | tok/sec : 108518.99563157183 | lr : 5.595090e-04 | dt : 4.53s
step : 4221 | loss : 3.280445 | tok/sec : 108404.06049703556 | lr : 5.594862e-04 | dt : 4.53s
step : 4222 | loss : 3.213731 | tok/sec : 108484.27600533816 | lr : 5.594633e-04 | dt : 4.53s
step : 4223 | loss : 3.176990 | tok/sec : 108365.7629957117 | lr : 5.594405e-04 | dt : 4.54s
step : 4224 | loss : 3.242000 | tok/sec : 108569.43004090975 | lr : 5.594177e-04 | dt : 4.53s
step : 4225 | loss : 3.198444 | tok/sec : 108480.20019106257 | lr : 5.593948e-04 | dt : 4.53s
step : 4226 | loss : 3.201086 | tok/sec : 108405.51406721593 | lr : 5.593720e-04 | dt : 4.53s
step : 4227 | loss : 3.271048 | tok/sec : 108252.24340935412 | lr : 5.593491e-04 | dt : 4.54s
step : 4228 | loss : 3.241004 | tok/sec : 108998.8730500825 | lr : 5.593263e-04 | dt : 4.51s
step : 4229 | loss : 3.283124 | tok/sec : 108688.72153917814 | lr : 5.593034e-04 | dt : 4.52s
step : 4230 | loss : 3.225082 | tok/sec : 108009.74096849682 | lr : 5.592805e-04 | dt : 4.55s
step : 4231 | loss : 3.326973 | tok/sec : 109040.88366524871 | lr : 5.592577e-04 | dt : 4.51s
step : 4232 | loss : 3.406752 | tok/sec : 108222.82407552011 | lr : 5.592348e-04 | dt : 4.54s
step : 4233 | loss : 3.413969 | tok/sec : 108333.01990366401 | lr : 5.592119e-04 | dt : 4.54s
step : 4234 | loss : 3.471179 | tok/sec : 108694.34886206179 | lr : 5.591890e-04 | dt : 4.52s
step : 4235 | loss : 3.405447 | tok/sec : 108425.75979629939 | lr : 5.591661e-04 | dt : 4.53s
step : 4236 | loss : 3.414855 | tok/sec : 108760.6943201384 | lr : 5.591432e-04 | dt : 4.52s
step : 4237 | loss : 3.445633 | tok/sec : 108251.32256965897 | lr : 5.591203e-04 | dt : 4.54s
step : 4238 | loss : 3.396220 | tok/sec : 108053.64850408815 | lr : 5.590974e-04 | dt : 4.55s
step : 4239 | loss : 3.432919 | tok/sec : 107615.77420810897 | lr : 5.590744e-04 | dt : 4.57s
step : 4240 | loss : 3.372350 | tok/sec : 108527.38763808052 | lr : 5.590515e-04 | dt : 4.53s
step : 4241 | loss : 3.384785 | tok/sec : 108303.76717160478 | lr : 5.590286e-04 | dt : 4.54s
step : 4242 | loss : 3.363815 | tok/sec : 108474.28680901903 | lr : 5.590056e-04 | dt : 4.53s
step : 4243 | loss : 3.398711 | tok/sec : 108515.23707333188 | lr : 5.589827e-04 | dt : 4.53s
step : 4244 | loss : 3.466496 | tok/sec : 108150.30730847949 | lr : 5.589597e-04 | dt : 4.54s
step : 4245 | loss : 3.431346 | tok/sec : 108606.05220368553 | lr : 5.589368e-04 | dt : 4.53s
step : 4246 | loss : 3.400022 | tok/sec : 108330.08822695306 | lr : 5.589138e-04 | dt : 4.54s
step : 4247 | loss : 3.435244 | tok/sec : 107223.21546335309 | lr : 5.588908e-04 | dt : 4.58s
step : 4248 | loss : 3.439130 | tok/sec : 108365.27882326269 | lr : 5.588678e-04 | dt : 4.54s
step : 4249 | loss : 3.448529 | tok/sec : 108274.95104218586 | lr : 5.588449e-04 | dt : 4.54s
step : 4250 | loss : 3.489442 | tok/sec : 108592.54551377054 | lr : 5.588219e-04 | dt : 4.53s
step : 4251 | loss : 3.426793 | tok/sec : 108345.34037282097 | lr : 5.587989e-04 | dt : 4.54s
step : 4252 | loss : 3.432708 | tok/sec : 108000.42737817013 | lr : 5.587759e-04 | dt : 4.55s
step : 4253 | loss : 3.443027 | tok/sec : 107943.58480987207 | lr : 5.587529e-04 | dt : 4.55s
step : 4254 | loss : 3.379508 | tok/sec : 108654.74649667993 | lr : 5.587299e-04 | dt : 4.52s
step : 4255 | loss : 3.372408 | tok/sec : 108262.74322634569 | lr : 5.587068e-04 | dt : 4.54s
step : 4256 | loss : 3.380349 | tok/sec : 108578.8820619274 | lr : 5.586838e-04 | dt : 4.53s
step : 4257 | loss : 3.375182 | tok/sec : 108144.65108107968 | lr : 5.586608e-04 | dt : 4.55s
step : 4258 | loss : 3.414577 | tok/sec : 108418.01638010122 | lr : 5.586378e-04 | dt : 4.53s
step : 4259 | loss : 3.414736 | tok/sec : 108354.26364502293 | lr : 5.586147e-04 | dt : 4.54s
step : 4260 | loss : 3.399728 | tok/sec : 108118.54479386048 | lr : 5.585917e-04 | dt : 4.55s
step : 4261 | loss : 3.343190 | tok/sec : 108483.71656171566 | lr : 5.585686e-04 | dt : 4.53s
step : 4262 | loss : 3.379259 | tok/sec : 108296.1606354852 | lr : 5.585455e-04 | dt : 4.54s
step : 4263 | loss : 3.419691 | tok/sec : 108564.49025645238 | lr : 5.585225e-04 | dt : 4.53s
step : 4264 | loss : 3.383084 | tok/sec : 108328.72206288126 | lr : 5.584994e-04 | dt : 4.54s
step : 4265 | loss : 3.358942 | tok/sec : 108110.85653334676 | lr : 5.584763e-04 | dt : 4.55s
step : 4266 | loss : 3.374746 | tok/sec : 108681.98900097844 | lr : 5.584533e-04 | dt : 4.52s
step : 4267 | loss : 3.358848 | tok/sec : 108412.05276493069 | lr : 5.584302e-04 | dt : 4.53s
step : 4268 | loss : 3.289853 | tok/sec : 108386.52382276754 | lr : 5.584071e-04 | dt : 4.53s
step : 4269 | loss : 3.259617 | tok/sec : 90066.79664530957 | lr : 5.583840e-04 | dt : 5.46s
step : 4270 | loss : 3.203578 | tok/sec : 115959.54311277135 | lr : 5.583609e-04 | dt : 4.24s
step : 4271 | loss : 3.237914 | tok/sec : 104351.59497181028 | lr : 5.583377e-04 | dt : 4.71s
step : 4272 | loss : 3.190014 | tok/sec : 115405.87210103935 | lr : 5.583146e-04 | dt : 4.26s
step : 4273 | loss : 3.250232 | tok/sec : 115145.5858835888 | lr : 5.582915e-04 | dt : 4.27s
step : 4274 | loss : 3.216747 | tok/sec : 115561.34237830821 | lr : 5.582684e-04 | dt : 4.25s
step : 4275 | loss : 3.252493 | tok/sec : 112320.62476371546 | lr : 5.582452e-04 | dt : 4.38s
step : 4276 | loss : 3.177490 | tok/sec : 112130.91602126718 | lr : 5.582221e-04 | dt : 4.38s
step : 4277 | loss : 3.177956 | tok/sec : 106209.10721591179 | lr : 5.581989e-04 | dt : 4.63s
step : 4278 | loss : 3.247263 | tok/sec : 108455.5178048638 | lr : 5.581758e-04 | dt : 4.53s
step : 4279 | loss : 3.266053 | tok/sec : 106523.74563820797 | lr : 5.581526e-04 | dt : 4.61s
